Posicao do objeto Virtual: X=-0,07591951, Y=-0,03786299, Z=0,2904596
Posicao do objeto Real no Unity: X=-0,2119815, Y=1,114608, Z=3,594271
Posicao do objeto Virtual: X=-0,07588151, Y=-0,03719981, Z=0,2898172
Posicao do objeto Real no Unity: X=-0,2529507, Y=1,149943, Z=3,582328
Posicao do objeto Virtual: X=-0,07811701, Y=-0,03718202, Z=0,2896969
Posicao do objeto Real no Unity: X=-0,2515236, Y=1,145194, Z=3,582342
Posicao do objeto Virtual: X=-0,07915699, Y=-0,03736325, Z=0,289106
Posicao do objeto Real no Unity: X=-0,2450821, Y=1,143004, Z=3,583983
Posicao do objeto Virtual: X=-0,08035344, Y=-0,03757862, Z=0,2891979
Posicao do objeto Real no Unity: X=-0,2714824, Y=1,153137, Z=3,577991
Posicao do objeto Virtual: X=-0,08220518, Y=-0,03756465, Z=0,2892661
Posicao do objeto Real no Unity: X=-0,3438655, Y=1,180409, Z=3,557555
Posicao do objeto Virtual: X=-0,08467209, Y=-0,03760419, Z=0,2880902
Posicao do objeto Real no Unity: X=-0,3280617, Y=1,182114, Z=3,562225
Posicao do objeto Virtual: X=-0,08717579, Y=-0,0385682, Z=0,2892405
Posicao do objeto Real no Unity: X=-0,3631111, Y=1,208187, Z=3,551717
Posicao do objeto Virtual: X=-0,09044176, Y=-0,04009373, Z=0,2900296
Posicao do objeto Real no Unity: X=-0,3964966, Y=1,215049, Z=3,542633
Posicao do objeto Virtual: X=-0,09340423, Y=-0,04122537, Z=0,2900351
Posicao do objeto Real no Unity: X=-0,4451784, Y=1,211643, Z=3,527066
Posicao do objeto Virtual: X=-0,09897995, Y=-0,04501978, Z=0,288525
Posicao do objeto Real no Unity: X=-0,5137669, Y=1,247642, Z=3,504681
Posicao do objeto Virtual: X=-0,1003563, Y=-0,04628002, Z=0,2893542
Posicao do objeto Real no Unity: X=-0,5191013, Y=1,236253, Z=3,50464
Posicao do objeto Virtual: X=-0,1019859, Y=-0,04814347, Z=0,2896818
Posicao do objeto Real no Unity: X=-0,5183538, Y=1,219407, Z=3,50519
Posicao do objeto Virtual: X=-0,1040676, Y=-0,04926224, Z=0,2887005
Posicao do objeto Real no Unity: X=-0,5514455, Y=1,238978, Z=3,494822
Posicao do objeto Virtual: X=-0,105873, Y=-0,05020424, Z=0,2896818
Posicao do objeto Real no Unity: X=-0,5212815, Y=1,214937, Z=3,504023
Posicao do objeto Virtual: X=-0,1071293, Y=-0,0508801, Z=0,2882776
Posicao do objeto Real no Unity: X=-0,5495037, Y=1,213274, Z=3,496547
Posicao do objeto Virtual: X=-0,1076129, Y=-0,0510183, Z=0,2884234
Posicao do objeto Real no Unity: X=-0,5068645, Y=1,206935, Z=3,509969
Posicao do objeto Virtual: X=-0,1080117, Y=-0,05050674, Z=0,2886611
Posicao do objeto Real no Unity: X=-0,5840583, Y=1,233702, Z=3,486047
Posicao do objeto Virtual: X=-0,1139529, Y=-0,05408522, Z=0,2899166
Posicao do objeto Real no Unity: X=-0,6258136, Y=1,244273, Z=3,47117
Posicao do objeto Virtual: X=-0,1182767, Y=-0,05695455, Z=0,2898717
Posicao do objeto Real no Unity: X=-0,6760655, Y=1,257488, Z=3,452824
Posicao do objeto Virtual: X=-0,1185197, Y=-0,05820829, Z=0,2902187
Posicao do objeto Real no Unity: X=-0,7022682, Y=1,238375, Z=3,444378
Posicao do objeto Virtual: X=-0,121994, Y=-0,06142248, Z=0,2893449
Posicao do objeto Real no Unity: X=-0,7256522, Y=1,268508, Z=3,43629
Posicao do objeto Virtual: X=-0,1236433, Y=-0,06280924, Z=0,2919697
Posicao do objeto Real no Unity: X=-0,7885985, Y=1,25502, Z=3,415322
Posicao do objeto Virtual: X=-0,1268572, Y=-0,06514914, Z=0,2919886
Posicao do objeto Real no Unity: X=-0,76521, Y=1,270593, Z=3,424491
Posicao do objeto Virtual: X=-0,1282514, Y=-0,06605924, Z=0,2934924
Posicao do objeto Real no Unity: X=-0,7652375, Y=1,252322, Z=3,421952
Posicao do objeto Virtual: X=-0,1308292, Y=-0,06828574, Z=0,2908522
Posicao do objeto Real no Unity: X=-0,7353419, Y=1,215488, Z=3,434713
Posicao do objeto Virtual: X=-0,1300799, Y=-0,06756981, Z=0,2890387
Posicao do objeto Real no Unity: X=-0,8074129, Y=1,219835, Z=3,403831
Posicao do objeto Virtual: X=-0,1289015, Y=-0,06656005, Z=0,2870455
Posicao do objeto Real no Unity: X=-0,7940779, Y=1,213291, Z=3,409527
Posicao do objeto Virtual: X=-0,1283002, Y=-0,06652848, Z=0,2869886
Posicao do objeto Real no Unity: X=-0,7461414, Y=1,220739, Z=3,429129
Posicao do objeto Virtual: X=-0,1294129, Y=-0,06657436, Z=0,2882648
Posicao do objeto Real no Unity: X=-0,7684276, Y=1,222781, Z=3,419614
Posicao do objeto Virtual: X=-0,1293021, Y=-0,06666882, Z=0,2877052
Posicao do objeto Real no Unity: X=-0,7810964, Y=1,219096, Z=3,414827
Posicao do objeto Virtual: X=-0,1283597, Y=-0,06614003, Z=0,2873725
Posicao do objeto Real no Unity: X=-0,7824918, Y=1,2208, Z=3,415113
Posicao do objeto Virtual: X=-0,1277075, Y=-0,06608812, Z=0,2880532
Posicao do objeto Real no Unity: X=-0,7771692, Y=1,218711, Z=3,418438
Posicao do objeto Virtual: X=-0,1268543, Y=-0,06512757, Z=0,2884792
Posicao do objeto Real no Unity: X=-0,7832199, Y=1,240179, Z=3,411646
