Posicao do objeto 1 Real no Unity: X=0,8679238, Y=1,18054, Z=3,63784
Posicao do objeto Virtual 1: X=-0,02009717, Y=-0,05458444, Z=0,3536448
Posicao do objeto 1 Real no Unity: X=0,9052396, Y=1,126086, Z=3,635366
Posicao do objeto Virtual 1: X=-0,02046531, Y=-0,05701391, Z=0,3521832
Posicao do objeto 1 Real no Unity: X=0,9143985, Y=1,13021, Z=3,632286
Posicao do objeto Virtual 1: X=-0,02038669, Y=-0,06047317, Z=0,3534298
Posicao do objeto 1 Real no Unity: X=0,8813564, Y=1,126645, Z=3,644247
Posicao do objeto Virtual 1: X=-0,01991624, Y=-0,06254221, Z=0,355758
Posicao do objeto 1 Real no Unity: X=0,8824097, Y=1,125345, Z=3,647818
Posicao do objeto Virtual 1: X=-0,01890765, Y=-0,06270772, Z=0,3571324
Posicao do objeto 1 Real no Unity: X=0,8448423, Y=1,158795, Z=3,657833
Posicao do objeto Virtual 1: X=-0,01569732, Y=-0,05980836, Z=0,3596516
Posicao do objeto 1 Real no Unity: X=0,9176162, Y=1,14649, Z=3,640943
Posicao do objeto Virtual 1: X=-0,01479065, Y=-0,06035796, Z=0,3584642
Posicao do objeto 1 Real no Unity: X=0,9199495, Y=1,141046, Z=3,642495
Posicao do objeto Virtual 1: X=-0,01475246, Y=-0,06152476, Z=0,3593128
Posicao do objeto 1 Real no Unity: X=0,9542003, Y=1,123964, Z=3,637134
Posicao do objeto Virtual 1: X=-0,01423844, Y=-0,06359494, Z=0,3600279
Posicao do objeto 1 Real no Unity: X=0,9519874, Y=1,08987, Z=3,64268
Posicao do objeto Virtual 1: X=-0,01540251, Y=-0,06561026, Z=0,3599727
Posicao do objeto 1 Real no Unity: X=0,9342385, Y=1,09652, Z=3,647958
Posicao do objeto Virtual 1: X=-0,0158282, Y=-0,06632324, Z=0,3613726
Posicao do objeto 1 Real no Unity: X=0,9168893, Y=1,130991, Z=3,650218
Posicao do objeto Virtual 1: X=-0,01531965, Y=-0,06671964, Z=0,3638439
Posicao do objeto 1 Real no Unity: X=0,9162569, Y=1,109171, Z=3,658013
Posicao do objeto Virtual 1: X=-0,0138683, Y=-0,06520522, Z=0,3646454
Posicao do objeto 1 Real no Unity: X=0,9850473, Y=1,128732, Z=3,634975
Posicao do objeto Virtual 1: X=-0,01507521, Y=-0,06742011, Z=0,3647395
Posicao do objeto 1 Real no Unity: X=0,9662731, Y=1,087447, Z=3,648373
Posicao do objeto Virtual 1: X=-0,01518581, Y=-0,0691731, Z=0,3658187
Posicao do objeto 1 Real no Unity: X=0,9608814, Y=1,079398, Z=3,653285
Posicao do objeto Virtual 1: X=-0,01436302, Y=-0,07033686, Z=0,3673575
Posicao do objeto 1 Real no Unity: X=0,9980001, Y=1,05636, Z=3,645626
Posicao do objeto Virtual 1: X=-0,01531249, Y=-0,07155567, Z=0,3668734
Posicao do objeto 1 Real no Unity: X=0,9953692, Y=1,028116, Z=3,651489
Posicao do objeto Virtual 1: X=-0,0145137, Y=-0,07265064, Z=0,3675081
Posicao do objeto 1 Real no Unity: X=0,9621238, Y=1,142145, Z=3,644984
Posicao do objeto Virtual 1: X=-0,0137562, Y=-0,07666962, Z=0,3714905
Posicao do objeto 1 Real no Unity: X=1,072416, Y=1,014785, Z=3,632964
Posicao do objeto Virtual 1: X=-0,01476944, Y=-0,07995782, Z=0,3700399
Posicao do objeto 1 Real no Unity: X=1,020041, Y=1,061962, Z=3,644681
Posicao do objeto Virtual 1: X=-0,01274893, Y=-0,08537354, Z=0,3739108
Posicao do objeto 1 Real no Unity: X=1,054191, Y=0,9618105, Z=3,648465
Posicao do objeto Virtual 1: X=-0,01358045, Y=-0,08596203, Z=0,3732175
Posicao do objeto 1 Real no Unity: X=1,12, Y=0,9510162, Z=3,630237
Posicao do objeto Virtual 1: X=-0,01224685, Y=-0,08619125, Z=0,3729043
Posicao do objeto 1 Real no Unity: X=1,068487, Y=0,9370041, Z=3,647222
Posicao do objeto Virtual 1: X=-0,01309926, Y=-0,08989188, Z=0,3745706
Posicao do objeto 1 Real no Unity: X=1,067486, Y=0,9169934, Z=3,649475
Posicao do objeto Virtual 1: X=-0,01452325, Y=-0,08969793, Z=0,3740636
Posicao do objeto 1 Real no Unity: X=1,060603, Y=0,9039143, Z=3,651411
Posicao do objeto Virtual 1: X=-0,01620668, Y=-0,09069517, Z=0,3741305
Posicao do objeto 1 Real no Unity: X=1,061376, Y=0,8839958, Z=3,651652
Posicao do objeto Virtual 1: X=-0,01897679, Y=-0,09491096, Z=0,3752739
Posicao do objeto 1 Real no Unity: X=1,05678, Y=0,8660132, Z=3,655207
Posicao do objeto Virtual 1: X=-0,0177246, Y=-0,0957834, Z=0,3755687
Posicao do objeto 1 Real no Unity: X=0,9712536, Y=0,9031504, Z=3,688117
Posicao do objeto Virtual 1: X=-0,0158509, Y=-0,08731548, Z=0,3794128
Posicao do objeto 1 Real no Unity: X=1,035272, Y=0,9838503, Z=3,664418
Posicao do objeto Virtual 1: X=-0,01659197, Y=-0,08698674, Z=0,3811214
Posicao do objeto 1 Real no Unity: X=1,011662, Y=0,9952369, Z=3,677966
Posicao do objeto Virtual 1: X=-0,01353826, Y=-0,08460411, Z=0,3844408
Posicao do objeto 1 Real no Unity: X=1,050547, Y=1,035872, Z=3,672496
Posicao do objeto Virtual 1: X=-0,009267606, Y=-0,07774651, Z=0,3873132
Posicao do objeto 1 Real no Unity: X=1,101862, Y=1,016093, Z=3,65826
Posicao do objeto Virtual 1: X=-0,008401409, Y=-0,07530892, Z=0,3851037
Posicao do objeto 1 Real no Unity: X=1,123567, Y=1,016782, Z=3,650336
Posicao do objeto Virtual 1: X=-0,009922072, Y=-0,07856031, Z=0,3859416
Posicao do objeto 1 Real no Unity: X=1,126895, Y=0,9909384, Z=3,657575
Posicao do objeto Virtual 1: X=-0,009158984, Y=-0,08038447, Z=0,3884735
Posicao do objeto 1 Real no Unity: X=1,119997, Y=0,9932564, Z=3,666505
Posicao do objeto Virtual 1: X=-0,005782746, Y=-0,07950567, Z=0,3912338
Posicao do objeto 1 Real no Unity: X=1,183605, Y=1,008511, Z=3,659115
Posicao do objeto Virtual 1: X=0,0003898516, Y=-0,07398634, Z=0,3950609
Posicao do objeto 1 Real no Unity: X=1,24263, Y=0,9978326, Z=3,643739
Posicao do objeto Virtual 1: X=0,001989573, Y=-0,07102434, Z=0,3951725
Posicao do objeto 1 Real no Unity: X=1,273595, Y=0,9967851, Z=3,630273
Posicao do objeto Virtual 1: X=0,001251236, Y=-0,07233842, Z=0,3944167
Posicao do objeto 1 Real no Unity: X=1,231679, Y=0,985807, Z=3,643835
Posicao do objeto Virtual 1: X=0,0006429255, Y=-0,0779819, Z=0,3951678
Posicao do objeto 1 Real no Unity: X=1,190595, Y=0,9960201, Z=3,67046
Posicao do objeto Virtual 1: X=0,004337862, Y=-0,07605497, Z=0,4012914
Posicao do objeto 1 Real no Unity: X=1,221719, Y=1,024233, Z=3,662762
Posicao do objeto Virtual 1: X=0,005368933, Y=-0,06553397, Z=0,4002733
Posicao do objeto 1 Real no Unity: X=1,256342, Y=1,018024, Z=3,657396
Posicao do objeto Virtual 1: X=0,003429353, Y=-0,06377803, Z=0,4023799
Posicao do objeto 1 Real no Unity: X=1,206797, Y=1,025253, Z=3,665411
Posicao do objeto Virtual 1: X=-0,0009100288, Y=-0,06905021, Z=0,4015007
Posicao do objeto 1 Real no Unity: X=1,2345, Y=1,021164, Z=3,656954
Posicao do objeto Virtual 1: X=-0,003271371, Y=-0,07311042, Z=0,4035392
Posicao do objeto 1 Real no Unity: X=1,16229, Y=1,00017, Z=3,692277
Posicao do objeto Virtual 1: X=-0,001279987, Y=-0,07555582, Z=0,4074726
Posicao do objeto 1 Real no Unity: X=1,183934, Y=0,979951, Z=3,694204
Posicao do objeto Virtual 1: X=0,0008196011, Y=-0,07554597, Z=0,4097981
Posicao do objeto 1 Real no Unity: X=1,205398, Y=1,046503, Z=3,694699
Posicao do objeto Virtual 1: X=0,006539941, Y=-0,06638788, Z=0,414772
Posicao do objeto 1 Real no Unity: X=1,211794, Y=1,048735, Z=3,706605
Posicao do objeto Virtual 1: X=0,009068206, Y=-0,05814597, Z=0,4182361
Posicao do objeto 1 Real no Unity: X=1,17112, Y=1,135002, Z=3,701381
Posicao do objeto Virtual 1: X=0,007380843, Y=-0,0502836, Z=0,4150007
Posicao do objeto 1 Real no Unity: X=1,26533, Y=1,090831, Z=3,673316
Posicao do objeto Virtual 1: X=0,007465407, Y=-0,05014813, Z=0,4124893
Posicao do objeto 1 Real no Unity: X=1,271451, Y=1,038156, Z=3,680058
Posicao do objeto Virtual 1: X=0,008071303, Y=-0,05296287, Z=0,412932
Posicao do objeto 1 Real no Unity: X=1,222143, Y=1,02049, Z=3,69845
Posicao do objeto Virtual 1: X=0,00487335, Y=-0,05374257, Z=0,4130447
Posicao do objeto 1 Real no Unity: X=1,278807, Y=1,038524, Z=3,674829
Posicao do objeto Virtual 1: X=0,003258109, Y=-0,057849, Z=0,4140685
Posicao do objeto 1 Real no Unity: X=1,193428, Y=1,058182, Z=3,706339
Posicao do objeto Virtual 1: X=0,005611397, Y=-0,06159256, Z=0,4177907
Posicao do objeto 1 Real no Unity: X=1,289608, Y=1,018224, Z=3,676674
Posicao do objeto Virtual 1: X=0,006112754, Y=-0,06344096, Z=0,4166963
Posicao do objeto 1 Real no Unity: X=1,307635, Y=0,9809946, Z=3,678596
Posicao do objeto Virtual 1: X=0,006204247, Y=-0,06763017, Z=0,4185224
Posicao do objeto 1 Real no Unity: X=1,268475, Y=0,9925766, Z=3,69448
Posicao do objeto Virtual 1: X=0,00764671, Y=-0,06480958, Z=0,4190984
Posicao do objeto 1 Real no Unity: X=1,286052, Y=0,992195, Z=3,689205
Posicao do objeto Virtual 1: X=0,01053633, Y=-0,06369287, Z=0,4186394
Posicao do objeto 1 Real no Unity: X=1,324852, Y=1,005717, Z=3,676707
