real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
0.5529299,1.079852,3.662588,0.03412151,-0.004140586,0.279443
0.5340239,1.108263,3.658393,0.03476606,-0.004890472,0.2797576
0.5928541,1.098591,3.665057,0.03299118,-0.006495118,0.2856752
0.5664555,1.109549,3.662789,0.03044824,-0.007648468,0.2852271
0.4838508,1.180376,3.652337,0.02469513,-0.0156568,0.2894986
0.504772,1.135069,3.659688,0.0222919,-0.01794213,0.2899642
0.4848005,1.112097,3.661737,0.019862,-0.01921597,0.2887164
0.4611878,1.112703,3.660724,0.01819837,-0.02122891,0.2885963
0.4498899,1.10761,3.65944,0.01714458,-0.0249573,0.2887595
0.4680864,1.096337,3.661066,0.01673611,-0.02880806,0.2904599
0.4817064,1.079311,3.663448,0.01544991,-0.03173876,0.2916557
0.5119791,1.009584,3.670926,0.01256308,-0.03682584,0.2921599
0.4865084,0.976614,3.671682,0.01117903,-0.03938124,0.2900994
0.4913334,0.9556751,3.672814,0.01082171,-0.04266675,0.2902781
0.499131,0.963607,3.672203,0.009194747,-0.0463246,0.2920784
0.4835684,0.9583249,3.671098,0.007796645,-0.049942,0.2921853
0.4902074,0.9183976,3.672468,0.007348567,-0.05453412,0.2918303
0.5172278,0.8499828,3.676363,0.007211596,-0.05717807,0.2912924
0.5378575,0.8230939,3.677626,0.008604705,-0.05898392,0.2915379
0.5506663,0.7753907,3.676293,0.009222314,-0.0630771,0.289795
0.5603443,0.7322202,3.671584,0.01106672,-0.07223684,0.287794
0.58781,0.6617855,3.67157,0.01112655,-0.07454006,0.2869939
0.5993458,0.6233059,3.668322,0.01262128,-0.07650632,0.2854627
0.6707252,0.541586,3.661875,0.01444648,-0.08239871,0.2851342
0.9045893,0.403035,3.631326,0.01662645,-0.09323488,0.2885171
0.8691919,0.3930019,3.630307,0.0169269,-0.09708582,0.285545
0.9856343,0.3016463,3.605754,0.01878222,-0.1089533,0.2883899
1.076426,0.1871323,3.572034,0.0181079,-0.1087766,0.285553
1.104094,0.1642834,3.562172,0.01891031,-0.1085624,0.2844713
1.147676,0.1514523,3.550117,0.0189207,-0.1098486,0.2853258
1.116118,0.1473956,3.553989,0.0179154,-0.1088799,0.2833853
1.110349,0.1468364,3.556626,0.01763096,-0.1096055,0.2832443
1.142376,0.09780899,3.542693,0.01816847,-0.1098482,0.2835191
1.147572,0.1416617,3.551175,0.01912166,-0.1045232,0.2847897
1.118025,0.1616013,3.557854,0.01855287,-0.09728988,0.2831079
1.232274,0.1195359,3.521978,0.01655544,-0.09519449,0.284533
1.073856,0.2612187,3.583884,0.01697206,-0.093404,0.2866888
1.088111,0.1780421,3.565701,0.01790762,-0.08288491,0.2840819
0.9952984,0.3700179,3.61152,0.02278075,-0.07217959,0.2859238
0.97934,0.504319,3.623079,0.02070933,-0.06902908,0.288258
0.9386269,0.52907,3.633608,0.0196858,-0.06806901,0.2894223
0.9616107,0.5035278,3.625278,0.01862875,-0.06639713,0.2880113
0.9339687,0.5363933,3.633986,0.01841447,-0.06496024,0.2896171
0.8920097,0.5433692,3.643987,0.01841324,-0.05839008,0.2895961
0.8083872,0.6887021,3.662355,0.02086628,-0.04907875,0.2923003
0.7724474,0.7560363,3.661629,0.02031755,-0.04809424,0.2913637
