Posicao do objeto Real no Unity: X=-1,239981, Y=2,433589, Z=2,539406
Posicao do objeto Virtual: X=0,01946563, Y=-0,05123013, Z=0,6104153
Posicao do objeto Real no Unity: X=-1,222005, Y=2,43955, Z=2,539937
Posicao do objeto Virtual: X=0,01925635, Y=-0,052302, Z=0,6097739
Posicao do objeto Real no Unity: X=-1,228508, Y=2,444819, Z=2,527213
Posicao do objeto Virtual: X=0,01959902, Y=-0,05212891, Z=0,610082
Posicao do objeto Real no Unity: X=-1,25453, Y=2,449912, Z=2,497136
Posicao do objeto Virtual: X=0,01969618, Y=-0,0521726, Z=0,6100295
Posicao do objeto Real no Unity: X=-1,261545, Y=2,451096, Z=2,485833
Posicao do objeto Virtual: X=0,02043897, Y=-0,05321687, Z=0,6102248
Posicao do objeto Real no Unity: X=-1,267714, Y=2,467273, Z=2,458811
Posicao do objeto Virtual: X=0,01972443, Y=-0,0541808, Z=0,6129618
Posicao do objeto Real no Unity: X=-1,27198, Y=2,465262, Z=2,457014
Posicao do objeto Virtual: X=0,01899189, Y=-0,0545907, Z=0,6124244
Posicao do objeto Real no Unity: X=-1,303658, Y=2,451865, Z=2,448556
Posicao do objeto Virtual: X=0,02015513, Y=-0,05495763, Z=0,6122561
Posicao do objeto Real no Unity: X=-1,318177, Y=2,459959, Z=2,420625
Posicao do objeto Virtual: X=0,0199334, Y=-0,05531263, Z=0,6123695
Posicao do objeto Real no Unity: X=-1,27593, Y=2,467181, Z=2,445142
Posicao do objeto Virtual: X=0,01865405, Y=-0,0558731, Z=0,6116987
Posicao do objeto Real no Unity: X=-1,269831, Y=2,463953, Z=2,452323
Posicao do objeto Virtual: X=0,01818073, Y=-0,05594987, Z=0,6100925
Posicao do objeto Real no Unity: X=-1,310986, Y=2,465044, Z=2,415414
Posicao do objeto Virtual: X=0,01816517, Y=-0,05545938, Z=0,6104075
Posicao do objeto Real no Unity: X=-1,283834, Y=2,450886, Z=2,463243
Posicao do objeto Virtual: X=0,01817292, Y=-0,05551499, Z=0,6100347
Posicao do objeto Real no Unity: X=-1,298133, Y=2,447849, Z=2,450158
Posicao do objeto Virtual: X=0,01804745, Y=-0,0558663, Z=0,6083075
Posicao do objeto Real no Unity: X=-1,310289, Y=2,452604, Z=2,422549
Posicao do objeto Virtual: X=0,01825446, Y=-0,05699474, Z=0,6064308
Posicao do objeto Real no Unity: X=-1,397148, Y=2,459512, Z=2,308771
