real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
-0.5552685,2.122435,3.25943,-0.06596544,-0.06135517,0.36242
-0.5212684,2.126618,3.261437,-0.06776759,-0.06466758,0.3627629
-0.5935225,2.164594,3.21582,-0.06842703,-0.06722432,0.3641852
-0.5066503,2.15933,3.236504,-0.06964785,-0.06937927,0.3631628
-0.5717905,2.228737,3.172866,-0.06806734,-0.0721156,0.3669816
-0.6386132,2.260063,3.127177,-0.06726685,-0.07348526,0.3668953
-0.7040663,2.302912,3.074636,-0.06640112,-0.0739482,0.3688657
-0.697551,2.302707,3.081674,-0.06485161,-0.07311708,0.3706505
-0.6944841,2.345526,3.055355,-0.0632641,-0.07177234,0.3742903
-0.671846,2.307494,3.091747,-0.06064102,-0.06978947,0.3717858
-0.6373995,2.238815,3.153053,-0.0590367,-0.06887144,0.3694594
-0.6429374,2.23384,3.155705,-0.0587582,-0.06856406,0.3695805
-0.6072859,2.198327,3.197736,-0.05834934,-0.06705785,0.3708875
-0.6140999,2.250734,3.170083,-0.05751264,-0.06529099,0.3762535
-0.6776412,2.273983,3.139877,-0.05636898,-0.06371713,0.378798
-0.6930012,2.328258,3.106781,-0.05451471,-0.06235164,0.385666
-0.6760942,2.29253,3.145062,-0.05245206,-0.06125689,0.3870685
-0.8036031,2.398521,3.034878,-0.05013281,-0.06158668,0.399874
-0.663595,2.280018,3.192577,-0.04939282,-0.06034857,0.4034594
-0.6007644,2.213056,3.270961,-0.04933953,-0.05913234,0.4070669
-0.5097456,2.12921,3.364742,-0.04862794,-0.05682522,0.411334
-0.4923563,2.135322,3.385007,-0.04904959,-0.05483115,0.4199287
-0.5864173,2.093987,3.39735,-0.04757828,-0.05203247,0.4233876
-0.5000792,2.062289,3.454492,-0.04841194,-0.05095482,0.4298513
-0.4238458,2.100875,3.470393,-0.05321875,-0.05129248,0.4406662
-0.3337121,1.9986,3.55597,-0.05554849,-0.04981029,0.4430994
-0.3120067,1.935048,3.602088,-0.05661207,-0.04826587,0.44595
-0.3570155,1.891333,3.625468,-0.05655167,-0.04669511,0.4495819
-0.3498937,1.890067,3.638866,-0.05531302,-0.04544806,0.4548141
-0.3780684,1.955677,3.620043,-0.05619884,-0.04508501,0.464787
