real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
-1.499554,2.447007,2.184238,0.01791936,-0.06076568,0.5948064
-1.519904,2.445646,2.153291,0.01817709,-0.06115854,0.59297
-1.531717,2.449739,2.119281,0.01810002,-0.06146669,0.5901585
-1.569306,2.444443,2.062899,0.01821125,-0.06190687,0.5860882
-1.600883,2.442142,1.989074,0.01910728,-0.06335324,0.579182
-1.606793,2.446623,1.954231,0.02013183,-0.06347108,0.5758277
-1.642961,2.431328,1.905364,0.02084529,-0.06384516,0.5694297
-1.672048,2.430189,1.827802,0.02250129,-0.06241941,0.5620433
-1.722494,2.423208,1.722489,0.02489585,-0.06167036,0.5583073
-1.771777,2.400973,1.638706,0.02696204,-0.06100845,0.5509067
-1.778411,2.401227,1.611409,0.02792883,-0.0595386,0.5480361
-1.776024,2.409292,1.57489,0.03090024,-0.05549628,0.5426138
-1.776442,2.410233,1.568493,0.03208917,-0.05443645,0.5418595
-1.790159,2.400675,1.527708,0.03225362,-0.05439603,0.5340716
-1.780436,2.408689,1.481861,0.03125733,-0.05337489,0.5220562
-1.784634,2.404699,1.464829,0.0309481,-0.05387771,0.5183067
-1.784758,2.401485,1.461622,0.03030568,-0.05468059,0.5154842
-1.799527,2.398702,1.41492,0.02991205,-0.05550301,0.5151622
-1.797616,2.396006,1.411487,0.02975243,-0.05663228,0.5122697
-1.796141,2.390209,1.413158,0.02989006,-0.05797714,0.5084821
-1.815142,2.377735,1.363329,0.03066528,-0.05903918,0.5043834
-1.82298,2.374219,1.338455,0.03208816,-0.05945694,0.505142
-1.818131,2.368724,1.330621,0.03346103,-0.06165153,0.5004026
-1.81622,2.366155,1.335534,0.0333358,-0.06266379,0.4990678
-1.823108,2.366973,1.313671,0.03325695,-0.06275833,0.5015376
-1.814588,2.367873,1.33171,0.03293461,-0.06328487,0.4992603
-1.822225,2.355985,1.317661,0.03320962,-0.06455469,0.493919
-1.831599,2.354149,1.291254,0.0335173,-0.0642941,0.4950731
-1.823322,2.356081,1.30411,0.03342372,-0.06468064,0.4931341
-1.810548,2.352547,1.34552,0.03402311,-0.06526494,0.4889783
-1.82203,2.344698,1.319863,0.03496283,-0.06523401,0.4868898
-1.838718,2.328606,1.311418,0.03635246,-0.06570536,0.4858471
-1.834514,2.319446,1.337351,0.03717995,-0.06632632,0.4807271
-1.83282,2.312603,1.349762,0.03893614,-0.06697285,0.4788493
-1.825934,2.314428,1.353186,0.03958374,-0.06807053,0.4787358
-1.810722,2.319057,1.371535,0.04003727,-0.06955165,0.4779968
-1.800611,2.313727,1.377565,0.04088908,-0.0718798,0.4715253
-1.802222,2.312618,1.381084,0.04170126,-0.07193893,0.4735005
-1.80034,2.305574,1.403694,0.04326212,-0.07221329,0.4731834
-1.778631,2.294544,1.465081,0.04510701,-0.07368237,0.4667226
-1.804613,2.28869,1.401718,0.05273366,-0.07424158,0.4761099
-1.741017,2.321514,1.3611,0.04841042,-0.07663059,0.4475603
-1.739658,2.321642,1.353862,0.04649669,-0.07722533,0.4439999
-1.748987,2.314324,1.331459,0.04558951,-0.07841128,0.4401191
-1.754192,2.315279,1.297009,0.04312176,-0.07977235,0.4374838
-1.755386,2.307781,1.317209,0.04253274,-0.08033848,0.435303
-1.751888,2.310206,1.324813,0.0421353,-0.0802319,0.4358135
-1.759155,2.313731,1.293429,0.0399006,-0.07998616,0.4353527
-1.778734,2.299696,1.271229,0.03879112,-0.08065021,0.4322802
-1.788519,2.290862,1.261525,0.03837937,-0.08165568,0.4307456
-1.775612,2.291993,1.287071,0.03749967,-0.08320338,0.4281729
-1.780166,2.286031,1.28402,0.03764004,-0.08366847,0.426421
-1.757792,2.299847,1.285636,0.0371182,-0.08500254,0.4246735
-1.74385,2.307369,1.299879,0.03651673,-0.08508492,0.4237908
-1.729482,2.31579,1.313612,0.03584665,-0.08519918,0.4235239
-1.673737,2.314395,1.488718,0.03365588,-0.08072442,0.4158595
-1.625654,2.319614,1.581924,0.03284705,-0.08064628,0.4148509
-1.641648,2.314645,1.555234,0.03361142,-0.08040822,0.4134452
-1.65762,2.298498,1.548226,0.03499973,-0.08027124,0.409574
-1.658209,2.29794,1.54199,0.0349052,-0.08040571,0.4079838
-1.594991,2.284021,1.68644,0.03577107,-0.08120656,0.4050297
-1.645505,2.279791,1.593714,0.03654385,-0.08107907,0.4034606
-1.631354,2.27322,1.631825,0.03657287,-0.08106154,0.4017439
-1.588942,2.264665,1.731419,0.03675944,-0.07981735,0.4013531
-1.568613,2.25584,1.781862,0.03602028,-0.07865953,0.3987808
-1.533926,2.23076,1.869663,0.03703898,-0.07925272,0.3961001
-1.500494,2.230718,1.914773,0.03672296,-0.07970548,0.3961381
-1.375884,2.176758,2.14408,0.0365606,-0.07802355,0.3937034
-1.403473,2.170018,2.114382,0.03832465,-0.07870084,0.3916155
-1.368691,2.15625,2.166116,0.0400632,-0.08038831,0.3928145
-1.373836,2.169762,2.137034,0.04098248,-0.08205611,0.3931625
-1.443551,2.211865,1.994009,0.04120338,-0.08326131,0.3944768
-1.440643,2.217234,1.997223,0.04117268,-0.08127028,0.3953472
-1.411326,2.173173,2.093397,0.04142612,-0.07958555,0.3913802
-1.49686,2.199894,1.945783,0.04254681,-0.08020008,0.3917102
-1.471792,2.192915,1.98838,0.04362208,-0.08001429,0.3917168
-1.540113,2.199331,1.882073,0.04503381,-0.07991761,0.3911941
-1.429401,2.182078,2.059777,0.0436902,-0.07751173,0.3907603
-1.390108,2.1616,2.130711,0.04345101,-0.076922,0.3888901
-1.436371,2.171337,2.059033,0.04378378,-0.07661462,0.3862441
-1.427274,2.166614,2.074481,0.04465592,-0.07681906,0.3861473
-1.348079,2.139449,2.194513,0.04500133,-0.0766561,0.385536
-1.37326,2.143909,2.161345,0.04536366,-0.07674146,0.3851337
-1.406608,2.190044,2.071826,0.04439336,-0.07660419,0.3887709
-1.487687,2.204551,1.952348,0.04156923,-0.07638133,0.3871729
-1.478688,2.215039,1.956537,0.03704655,-0.07623899,0.3876702
-1.422066,2.240149,2.006751,0.03115803,-0.07615364,0.3914161
-1.372045,2.230481,2.090399,0.02629322,-0.07581818,0.3925204
-1.343828,2.240835,2.12104,0.02080041,-0.07539171,0.3951612
-1.322923,2.250053,2.144256,0.01519972,-0.07531148,0.3979594
