real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
0.379848,1.356189,3.636439,-0.03629156,-0.0460614,0.3363622
0.6130382,1.2892,3.629216,-0.02944599,-0.05183852,0.3385818
0.669957,1.256989,3.632226,-0.02764879,-0.0534894,0.3411366
0.7273422,1.217858,3.630732,-0.02580978,-0.05301535,0.3405497
0.7571718,1.202203,3.629501,-0.02597585,-0.05183537,0.3405575
0.7279047,1.223586,3.631598,-0.02747486,-0.05206621,0.341339
0.7355884,1.204417,3.631295,-0.02807613,-0.051613,0.339983
0.7149875,1.222796,3.633206,-0.02980317,-0.05207081,0.3414471
0.6918879,1.24581,3.637064,-0.02928214,-0.05058484,0.3432837
0.7068554,1.251997,3.634809,-0.0283573,-0.04967552,0.3437061
0.7438557,1.245767,3.62818,-0.02786881,-0.05092987,0.3434339
0.7139356,1.24118,3.637556,-0.02854055,-0.05197378,0.34506
0.6647595,1.24995,3.651481,-0.02815475,-0.0472071,0.3470201
0.673445,1.304465,3.643503,-0.02590349,-0.04230529,0.348273
0.7300445,1.308969,3.638123,-0.02221184,-0.04088348,0.3501854
0.7979996,1.283341,3.630594,-0.02056091,-0.0426549,0.3500214
0.790246,1.28456,3.631205,-0.02016391,-0.04535475,0.350499
0.833447,1.233803,3.634134,-0.0198213,-0.04714788,0.3509392
0.8551695,1.222102,3.632591,-0.01979987,-0.04959619,0.352036
0.8581737,1.183924,3.638535,-0.01966008,-0.05122791,0.3518442
0.8671947,1.178416,3.637435,-0.01978735,-0.05262882,0.3522469
0.8679238,1.18054,3.63784,-0.02009717,-0.05458444,0.3536448
0.9052396,1.126086,3.635366,-0.02046531,-0.05701391,0.3521832
0.9143985,1.13021,3.632286,-0.02038669,-0.06047317,0.3534298
0.8813564,1.126645,3.644247,-0.01991624,-0.06254221,0.355758
0.8824097,1.125345,3.647818,-0.01890765,-0.06270772,0.3571324
0.8448423,1.158795,3.657833,-0.01569732,-0.05980836,0.3596516
0.9176162,1.14649,3.640943,-0.01479065,-0.06035796,0.3584642
0.9199495,1.141046,3.642495,-0.01475246,-0.06152476,0.3593128
0.9542003,1.123964,3.637134,-0.01423844,-0.06359494,0.3600279
0.9519874,1.08987,3.64268,-0.01540251,-0.06561026,0.3599727
0.9342385,1.09652,3.647958,-0.0158282,-0.06632324,0.3613726
0.9168893,1.130991,3.650218,-0.01531965,-0.06671964,0.3638439
0.9162569,1.109171,3.658013,-0.0138683,-0.06520522,0.3646454
0.9850473,1.128732,3.634975,-0.01507521,-0.06742011,0.3647395
0.9662731,1.087447,3.648373,-0.01518581,-0.0691731,0.3658187
0.9608814,1.079398,3.653285,-0.01436302,-0.07033686,0.3673575
0.9980001,1.05636,3.645626,-0.01531249,-0.07155567,0.3668734
0.9953692,1.028116,3.651489,-0.0145137,-0.07265064,0.3675081
0.9621238,1.142145,3.644984,-0.0137562,-0.07666962,0.3714905
1.072416,1.014785,3.632964,-0.01476944,-0.07995782,0.3700399
1.020041,1.061962,3.644681,-0.01274893,-0.08537354,0.3739108
1.054191,0.9618105,3.648465,-0.01358045,-0.08596203,0.3732175
1.12,0.9510162,3.630237,-0.01224685,-0.08619125,0.3729043
1.068487,0.9370041,3.647222,-0.01309926,-0.08989188,0.3745706
1.067486,0.9169934,3.649475,-0.01452325,-0.08969793,0.3740636
1.060603,0.9039143,3.651411,-0.01620668,-0.09069517,0.3741305
1.061376,0.8839958,3.651652,-0.01897679,-0.09491096,0.3752739
1.05678,0.8660132,3.655207,-0.0177246,-0.0957834,0.3755687
0.9712536,0.9031504,3.688117,-0.0158509,-0.08731548,0.3794128
1.035272,0.9838503,3.664418,-0.01659197,-0.08698674,0.3811214
1.011662,0.9952369,3.677966,-0.01353826,-0.08460411,0.3844408
1.050547,1.035872,3.672496,-0.009267606,-0.07774651,0.3873132
1.101862,1.016093,3.65826,-0.008401409,-0.07530892,0.3851037
1.123567,1.016782,3.650336,-0.009922072,-0.07856031,0.3859416
1.126895,0.9909384,3.657575,-0.009158984,-0.08038447,0.3884735
1.119997,0.9932564,3.666505,-0.005782746,-0.07950567,0.3912338
1.183605,1.008511,3.659115,0.0003898516,-0.07398634,0.3950609
1.24263,0.9978326,3.643739,0.001989573,-0.07102434,0.3951725
1.273595,0.9967851,3.630273,0.001251236,-0.07233842,0.3944167
1.231679,0.985807,3.643835,0.0006429255,-0.0779819,0.3951678
1.190595,0.9960201,3.67046,0.004337862,-0.07605497,0.4012914
1.221719,1.024233,3.662762,0.005368933,-0.06553397,0.4002733
1.256342,1.018024,3.657396,0.003429353,-0.06377803,0.4023799
1.206797,1.025253,3.665411,-0.0009100288,-0.06905021,0.4015007
1.2345,1.021164,3.656954,-0.003271371,-0.07311042,0.4035392
1.16229,1.00017,3.692277,-0.001279987,-0.07555582,0.4074726
1.183934,0.979951,3.694204,0.0008196011,-0.07554597,0.4097981
1.205398,1.046503,3.694699,0.006539941,-0.06638788,0.414772
1.211794,1.048735,3.706605,0.009068206,-0.05814597,0.4182361
1.17112,1.135002,3.701381,0.007380843,-0.0502836,0.4150007
1.26533,1.090831,3.673316,0.007465407,-0.05014813,0.4124893
1.271451,1.038156,3.680058,0.008071303,-0.05296287,0.412932
1.222143,1.02049,3.69845,0.00487335,-0.05374257,0.4130447
1.278807,1.038524,3.674829,0.003258109,-0.057849,0.4140685
1.193428,1.058182,3.706339,0.005611397,-0.06159256,0.4177907
1.289608,1.018224,3.676674,0.006112754,-0.06344096,0.4166963
1.307635,0.9809946,3.678596,0.006204247,-0.06763017,0.4185224
1.268475,0.9925766,3.69448,0.00764671,-0.06480958,0.4190984
1.286052,0.992195,3.689205,0.01053633,-0.06369287,0.4186394
1.324852,1.005717,3.676707,0.01205814,-0.06300028,0.4196551
1.332162,1.00582,3.673794,0.01245907,-0.06468593,0.4202549
1.310209,1.009742,3.690408,0.0153621,-0.06207137,0.4240321
1.382915,1.028392,3.64252,0.01419728,-0.05534047,0.4144635
1.26192,1.052757,3.682769,0.009116963,-0.06302828,0.4180788
1.109564,1.11312,3.72155,0.01335608,-0.07111765,0.4206398
1.362868,1.115325,3.659549,0.01425165,-0.06317292,0.4290565
1.558668,1.130615,3.54538,0.007635564,-0.0678868,0.4214491
1.417867,0.8903944,3.642328,0.0009731352,-0.07922452,0.4197944
1.178418,0.9614742,3.725218,-0.008893475,-0.07686681,0.4238698
1.156058,1.006769,3.730934,-0.009846054,-0.07325781,0.4262246
1.105317,1.068644,3.747295,-0.007425904,-0.06732762,0.4301066
1.184079,1.010637,3.726107,-0.007659376,-0.06460322,0.425647
1.078016,1.111863,3.749737,-0.0055978,-0.06458867,0.4298778
1.164399,1.061619,3.735731,-0.00140705,-0.06396629,0.4301336
1.262025,1.015717,3.704755,0.0008924305,-0.06140552,0.4259108
1.228315,1.054353,3.715583,0.0007190704,-0.06296718,0.4293795
1.248092,1.046475,3.707456,0.0001760274,-0.06276007,0.42801
1.263578,1.019777,3.70737,0.0006714165,-0.06494686,0.428839
1.275944,1.012012,3.710836,0.003896117,-0.06442547,0.4310696
1.332462,1.019607,3.689514,0.004981369,-0.06385083,0.4309554
1.339433,0.9866356,3.68814,0.003244802,-0.07286941,0.4312627
1.365538,0.9275763,3.68832,0.005034432,-0.07132435,0.4317099
1.347623,0.9429578,3.697237,0.006848916,-0.06821325,0.4322307
1.348258,0.9586749,3.69705,0.007410437,-0.06684338,0.4328606
1.323759,1.00225,3.704534,0.007962108,-0.06562278,0.4350126
1.360785,0.9750129,3.692504,0.007277116,-0.06615838,0.4340456
1.359686,0.9622243,3.69647,0.008385763,-0.0692066,0.4356422
1.406344,0.9455418,3.685898,0.01086223,-0.06761599,0.4374948
1.405856,0.9586347,3.69141,0.01278031,-0.06399889,0.4389632
1.365046,0.9898338,3.704045,0.01203898,-0.0617473,0.4394146
1.291057,1.084383,3.730049,0.01136209,-0.05562992,0.4456714
1.319215,1.108721,3.716146,0.01292057,-0.05080274,0.4447062
1.35833,1.087963,3.698404,0.01223922,-0.05288462,0.4420381
1.339974,1.048949,3.710788,0.01311436,-0.05414893,0.4409622
1.238312,1.204365,3.73214,0.01007776,-0.04233903,0.4470422
1.266972,1.223007,3.716602,0.01654969,-0.04115078,0.4444622
1.497919,1.055179,3.636705,0.01080304,-0.05232942,0.4374402
1.298949,1.059456,3.739954,0.01231872,-0.05873497,0.4504853
1.365087,1.075131,3.72013,0.0179604,-0.05169375,0.450166
1.399462,1.089887,3.706643,0.02100293,-0.04923949,0.4501796
1.418687,1.105755,3.703405,0.02539736,-0.04733175,0.4523734
1.45575,1.079817,3.696244,0.02955326,-0.04598519,0.4517688
1.548343,1.068032,3.649354,0.02908418,-0.04977697,0.4492579
1.512845,1.060032,3.679272,0.03122325,-0.05234633,0.4550756
1.547398,1.020617,3.66625,0.03199086,-0.05024682,0.4516525
1.550133,1.008979,3.668869,0.03314981,-0.05012128,0.4518691
1.519538,1.028187,3.686691,0.03596902,-0.05001779,0.4548899
1.584265,1.015114,3.668144,0.04224813,-0.04668541,0.4555124
1.729191,0.9955592,3.61045,0.04866153,-0.05014193,0.4586909
1.773114,0.9537659,3.588397,0.04663029,-0.052203,0.4565384
1.74956,0.913856,3.602011,0.04337928,-0.0564184,0.4561596
1.702085,0.9304796,3.626113,0.04282242,-0.05900286,0.4584761
1.72449,0.8813204,3.617813,0.04119977,-0.06036356,0.4573616
1.655668,0.8965965,3.649728,0.03912413,-0.06013729,0.458428
1.617629,0.9616476,3.663684,0.03611138,-0.05862097,0.4614526
1.617093,0.9413725,3.661545,0.03343666,-0.05806112,0.4599408
1.59145,0.9720979,3.670532,0.03154683,-0.05737005,0.4613729
1.518588,1.020164,3.699067,0.0285269,-0.0534445,0.4635069
1.570217,1.00284,3.665468,0.02338809,-0.0537079,0.4593377
1.512836,1.01133,3.684652,0.01798923,-0.05983433,0.4609294
1.456516,1.029331,3.711229,0.01942489,-0.06215645,0.464736
